,precision,recall,f1-score,support
baiting,0.9285714285714286,0.8125,0.8666666666666667,16.0
malware,0.9375,0.9375,0.9375,16.0
non-malicious,0.8947368421052632,1.0,0.9444444444444444,34.0
phishing,0.8571428571428571,0.782608695652174,0.8181818181818182,23.0
pretexting,0.9333333333333333,0.875,0.9032258064516129,16.0
scareware,0.9523809523809523,1.0,0.975609756097561,20.0
accuracy,0.912,0.912,0.912,0.912
macro avg,0.9172775689223057,0.9012681159420289,0.9076047486403506,125.0
weighted avg,0.9117874686716793,0.912,0.910078140969093,125.0
