,precision,recall,f1-score,support
baiting,1.0,0.875,0.9333333333333333,16.0
malware,0.8823529411764706,0.9375,0.9090909090909091,16.0
non-malicious,0.8947368421052632,1.0,0.9444444444444444,34.0
phishing,0.8571428571428571,0.782608695652174,0.8181818181818182,23.0
pretexting,0.9333333333333333,0.875,0.9032258064516129,16.0
scareware,1.0,1.0,1.0,20.0
accuracy,0.92,0.92,0.92,0.92
macro avg,0.9279276622929874,0.9116847826086957,0.9180460519170196,125.0
weighted avg,0.9214905499041722,0.92,0.9188775496904529,125.0
