,precision,recall,f1-score,support
baiting,0.9285714285714286,0.8125,0.8666666666666667,16.0
malware,0.9375,0.9375,0.9375,16.0
non-malicious,0.8947368421052632,1.0,0.9444444444444444,34.0
phishing,0.8636363636363636,0.8260869565217391,0.8444444444444444,23.0
pretexting,1.0,0.875,0.9333333333333333,16.0
scareware,0.9523809523809523,1.0,0.975609756097561,20.0
accuracy,0.92,0.92,0.92,0.92
macro avg,0.929470931115668,0.9085144927536232,0.9169997741644083,125.0
weighted avg,0.9215156071998177,0.92,0.9187642276422764,125.0
